Name,Desc,Label
intro computing python,computation problem solving writing python programs particular elements include careful development python programs specifications documentation style appropriate use control structures data types subprograms abstractions verification engineering applications,Python
introduction computing java,introductory course computing java emphasis algorithm development problem solving careful methodical development java applications applets specifications documentation style appropriate use control structures classes methods data types data abstraction objectoriented programming design graphical user interface design,Java
programming concepts java,second course computing intended majors emphasis placed software system design testing encapsulation polymorphism composition inheritance linear data structures specification implementation finitestate machines interpretation inductive definitions functions data types resource management,Java
discrete mathematics computer scientists,propositional logic predicate calculus logic gates circuits methods proof elementary set theory Matlabl induction recursive definitions algorithms solving recurrences analysis algorithms asymptotic growth functions elementary combinatorics introduction graph theory ordered sets including posets equivalence relations introduction formal languages automata,Python
concepts facilities operating systems computer scientists,fundamental concepts computer operating systems computer scientists including memory management file systems process management distributed systems deadlocks basic security system accounting,C++
web page development,syntax semantics html hypertext markup language students learn necessary skills develop web pages eosunity account addition mechanics design aspects bandwidth conservancy covered several pages created including final project,Java
string processing languages,syntax semantics string manipulation language currently snobol application language programming problems nonnumeric areas discussion string processing languages perl,Python
foundations interactive game design,surveys history technology narrative ethics design interactive computer games work teams develop novel game designs computer games introduction interplay narrative technology rule systems play culture creation interactive games programming experience required enrollment restricted students least sophomore status,Java
special topics computer science,special topics csc early undergraduate level,Python
introduction numerical methods,numerical computations digital computers floating point arithmetic implications roundoff error algorithms computer techniques numerical solution problems function evaluation zeros functions interpolation numerical differentiation integration linear systems equations curve fitting solutions nonlinear equations numerical solutions ordinary differential equations,Python
data structures computer scientists,abstract data types abstract implementationlevel views data types linear branching data structures including stacks queues trees heaps hash tables graphs others discretion instructor best worst average case asymptotic time space complexity means formal analysis iterative recursive algorithms,Java
software engineering,application software engineering methods develop complex products including following skills quality assurance project management requirements analysis specifications design development testing production maintenance security privacy configuration management build systems communication teaming,C++
automata grammars computability,study three classical formal models computationfinite state machines contextfree grammars turing machinesand corresponding families formal languages power limitations model parsing nondeterminism halting problem undecidability classes p np npcompleteness,Python
applied webbased clientserver computing,course explores clientserver computing world wide web course focuses architecture webbased clientserver applications accepted industry practices students work teams develop web applications dynamic content delivery,Java
data computer communications networks,basic concepts data communication networking computer communications architectures including packetcircuitvirtualcircuit switching layered communication architecture osi layers general description dlc network transport layers detailed protocol study ethernet atm tcpip credit allowed hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa,C++
networking projects,series handson networking labs students gain experience practical topics network configuration troubleshooting static dynamic routing course prepares students sufficiently industry certification,C++
introduction computer security,basic concepts techniques information security management risks vulnerabilities applied cryptography program security malicious software authentication access control operating systems security multilevel security trusted operating systems database security inference control physical security system assurance evaluation coverage highlevel concepts confidentiality integrity availability applied hardware software data,C++
architecture parallel computers,need parallel massively parallel computers taxonomy parallel computer architecture programming models parallel architectures example parallel algorithms sharedmemory vs distributedmemory architectures correctness performance issues cache coherence memory consistency busbased scalable directorybased multiprocessors interconnectionnetwork topologies switch design brief overview advanced topics multiprocessor prefetching speculative parallel execution credit allowed one course set hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,C++
introduction artificial intelligence,overview definitions artificial intelligence ai search including depthfirst breadthfirst techniques backtracking knowledge representation emphasis logical methods horn databases resolution quantification unification skolemization control issues nonmonotonic reasoning frames semantic nets ai systems including planning learning natural language expert systems ai programming language may taught instructors discretion,Python
introduction combinatorics,basic principles counting addition multiplication principles generating functions recursive methods inclusionexclusion pigeonhole principle basic concepts graph theory graphs digraphs connectedness trees additional topics frompolya theory counting ramsey theory combinatorial optimization matching covering minimum spanning trees minimum distance maximum flow sieves mobius inversion partitions gaussian numbers qanalogues bijections involutions partially ordered sets,Python
theory programming languages,theory programming languages emphasis programming language semantics implementation issues formal models syntax semantics static versus dynamic scoping parameter passing mechanisms garbage collection programming alternate paradigms applicative functional logic objectoriented programming languages,C++
automated learning data analysis,introduction problems techniques automated discovery knowledge databases topics include representation evaluation formalization knowledge discovery classification prediction clustering association methodsselected applications commerce security bioinformatics students cannot get credit hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,Python
introduction numerical analysis,theory practice computational procedures including approximation functions interpolating polynomials numerical differentiation integration solution ordinary differential equations including initial value boundary value problems computer applications techniques,Python
introduction numerical analysis ii,computational procedures including direct iterative solution linear nonlinear equations matrices eigenvalue calculations function approximation least squares smoothing functions minimax approximations,Python
file organization processing,hardware characteristics storage devices basic file organizations including sequential direct indexed sequential hashing collision resolution perfect hashing signatures bloom filters sorting bit level structures tree structures including binary search trees btrees trees dynamic hashing techniques structures including grid files applying file structures practical problems,Java
database management systems,introduction database concepts course examines logical organization databases entityrelationship model relational data model languages functional dependencies normal forms design implementation optimization query languages security integrity concurrency control transaction processing distributed database systems,Java
introduction data science,overview data structures data lifecycle statistical inference data management queries data cleaning data wrangling classification prediction methods include linear regression logistic regression knearest neighbors classification regression trees association analysis clustering methods emphasis analyzing data use development software tools comparing methods,Python
software wireless sensor systems,development software wireless computer systems software designs applications networking environment including algorithms ad hoc discovery routing secure data transfer software interface related sensors subsystems including global positioning system algorithms power management programming required,C++
computer architecture multiprocessors,major components digital computers organization components systems begins single processor systems extends parallel systems multiprocessing topics include computer organization instruction set design cache memory pipelined processors multiprocessors recent developments pc desktop architectures also studied,C++
computer graphics,principles computer graphics emphasis twodimensional aspects threedimensional raster graphics topics include graphics hardware devices lines polygons clipping lines polygons windows graphical user interface vectors projections transformations polygon fill programming projects c c,C++
advanced computer graphics projects,principles computer graphics emphasis threedimensional graphics topics include projections transformations curves surfaces color texture animation visualization global illumination techniques programming project required,C++
network security,basic concepts techniques information security management risks vulnerabilities applied cryptography authentication access control multilevel security multilateral security network attacks defense intrusion detection physical security copyright protection privacy mechanisms security management system assurance evaluation information warfare coverage highlevel concepts confidentiality integrity availability applied hardware software data credit allowed hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,Java
game engine foundations,introduction game engines technologies underlying computer console game development course cover engine components architectures designs topics include asset management resource management event management memory management timelines multithreading network architectures game object models sequence programming assignments lead students implementation game engine use design game,C++
advanced computer game projects,principles computer game development emphasis firstperson game engines topics include advanced character behavior control procedural content generation large scale mulitplayer game design infrastructure serious games education training applications game production pipeline project built top commercial game engine consideration game production pipeline including project pitches requirements design detail programming project written oral reporting required enrollment open csc majors,C++
building game ai,course examine artificial intelligence ai techniques used design computer games look techniques game playing well design ai opponents tasked creating good experiences players course begin discussion general ai common algorithms data structures representations cover topics character movement pathfinding decision making strategy tactics learning sequence programming assignments students create increasingly sophisticated ai implementations students also critically review projects conducted graduate students enrolled csc csc majors students cannot get credit hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,Python
senior design project,application software engineering principles basic computer science total development software system consideration software system design process including requirements design detail development evaluation prototype accomplished design team activity comprehensive written oral project report required open csc majorsrestricted students hours computer science restricted elective,Java
special topics computer science,used following types study readings literature computer science introductory research projects major computer programming projects seminars new course development work may done csc area software hardware utilization programming languages numerical methods telecommunications departmental approval required,Java
independent research computer science,independent investigation research problem faculty supervision departmental approval required individualizedindependent study research courses require course agreement students enrolled nonstandard courses completed student faculty member prior registration department,Python
operating systems principles,fundamental issues related design operating systems process scheduling coordination deadlock memory management elements distributed systems,C++
computational applied logic,introduction conceptual formal apparatus Matlabl logic Matlabl concepts underlying process logical formalization applications various logics across broad spectrum problems computer science artificial intelligence,Python
design analysis algorithms,algorithm design techniques use data structures divide conquer dynamic programming greedy techniques local global search complexity analysis algorithms asymptotic analysis worst case average case recurrences lower bounds npcompleteness algorithms classical problems including sorting searching graph problems connectivity shortest paths minimum spanning trees,C++
architecture parallel computers,need parallel massively parallel computers taxonomy parallel computer architecture programming models parallel architectures example parallel algorithms sharedmemory vs distributedmemory architectures correctness performance issues cache coherence memory consistency busbased scalable directorybased multiprocessors interconnectionnetwork topologies switch design brief overview advanced topics multiprocessor prefetching speculative parallel execution credit allowed one course set hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,C++
software engineering,introduction software life cycle models size estimation cost schedule estimation project management risk management formal technical reviews analysis design coding testing methods configuration management change control software reliability estimation emphasis large development projects individual project required following good software engineering practices throughout semester,Java
compiler construction,theory practice compiler writing lexical analysis table driven lr lalr parsers code generation flow analysis runtime storage organization optimization writing compiler using software tools significant part course,C++
electronic commerce technology,exploration technological issues challenges underlying electronic commerce distributed systems network infrastructures security trust payment solutions transaction database systems presentation issues project required audits,Java
software security,introduces students discipline designing developing testing secure dependable softwarebased systems students learn risks vulnerabilities effective software security techniques topics include common vulnerabilities access control information leakage logging usability risk analysis testing design principles security policies privacy project required,Java
objectoriented design development,design objectoriented systems using principles grasp principles methodologies crc cards unified modeling language ulm requirements analysis design patterns agile methods static vs dynamic typing metaprogramming opensource development practices tools testfirst development project required involving contributions opensource software project,Java
devops modern software engineering practices,modern software development organizations require entire teams devops automate maintain software engineering processes infrastructure vital organization course gain practical exposure skills tools knowledge needed automating software engineering processes infrastructure students chance build new extend existing software engineering tools design devops pipeline,Java
artificial intelligence,introduction overview artificial intelligence study ai programming language lisp prolog elements ai problemsolving technique state spaces search techniques logic theorem proving associative databases introduction knowledge representation expert systems selected topics including natural language processing vision robotics,Python
automated learning data analysis,introduction problems techniques automated discovery knowledge databases topics include representation evaluation formalization knowledge discovery classification prediction clustering association methodsselected applications commerce security bioinformatics students cannot get credit hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,Python
computational methods molecular biology,computer algorithms supporting genomic research dna sequence comparison assembly hybridization mapping phylogenetic reconstruction genome rearrangement protein folding threading,Python
database management concepts systems,advanced database concepts logical organization databases entityrelationship model relational data model languages functional dependencies normal forms design implementation optimization query languages security integrity consurrency control transaction processing distributed database systems,Java
advanced data structures,complex specialized data structures relevant design development effective efficient software hardware characteristics storage media primary file organizations hashing functions collision resolution techniques low level bit level structures including signatures superimposed coding disjoint coding bloom filters tree related structures including avl trees btrees tries dynamic hashing techniques,Java
principles computer graphics,fundamentals opengl api transformations perspective orthographic projection Matlabl foundations underlie concepts geometric primitives clipping depth buffering scan conversion rasterization lighting shadows texture mapping curves surfaces,C++
introduction game engine design,course offers advanced discussion topics computer graphics emphasis rendering techniques gpu shader programming used computer game engine design students required implement mediumsize game program includes modeling rendering physics animation dynamic objects students learn gpu basics mathematics transformations visual appearance properties texturing global illumination toon shading computer games,C++
visual interfaces mobile devices,conception creation effective visual interfaces mobile devices including ideation prototyping useful mobile applications industry architecture mobile devices mobile usage context computer graphics interfaces mobiles mobile programming,Java
graph theory,basic concepts graph theory trees forests vector spaces associated graph representation graphs binary matrices list structures traversability connectivity matchings assignment problems planar graphs colorability directed graphs applications graph theory emphasis organizing problems form suitable computer solution,Python
computer networks,general introduction computer networks discussion protocol principles local area wide area networking osi stack tcpip quality service principles detailed discussion topics medium access control error control coding flow control mechanisms introduction networking simulation security wireless optical networking,C++
internet protocols,principles issues underlying provision wide area connectivity interconnection autonomous networks internet architecture protocols today likely evolution future case studies particular protocols demonstrate fundamental principles applied practice selected examples networked clinetserver applications motivate functional requirements internetworking project required,C++
computer network security,security policies models mechanisms secrecy integrity availability basic cryptography applications operating system models mechanisms mandatory discretionary controls introduction database security securityin distributed systems network security firewalls ipsec ssl control prevention viruses rogue programs,Java
introduction wireless networking,introduction cellular communications wireless local area networks adhoc ip infrastructures topics include cellular networks mobility mannagement connection admission control algorithms mobility models wireless ip networks adhoc routing sensor networks quality service wireless security,C++
networking services qos signaling processes,topics related networking services signaling setting networking services sip ims networking architectures providing qos networking services mpls diffserv rac signaling protocols setting qos connections transport stratum ldp rsvpte videobased communications capacity planning models dimensioning services,C++
switched network management,topics related design management campus enterprise networks including vlan design virtualization automation methodologies management laboratory use open space source commercial tools managing networks,C++
introduction computer performance modeling,workload characterization collection analysis performance data instrumentation tuning analytic models including queuing network models operational analysis economic considerations,C++
numerical analysis,algorithm behavior applicability effect roundoff errors systems linear equations direct methods least squares via givens householder transformations stationary krylov iterative methods conjugate gradient gmres methods convergence method,Python
introduction parallel computing,introduction basic parallel architectures algorithms programming paradigms message passing collectives communicators parallel matrix products domain decomposition direct iterative methods linear systems analysis efficiency complexity errors applications heat mass transfer,C++
special topics computer science,topics current interest computer science covered existing courses,Java
operating systems security,fundamentals advanced topics operating system os security study os level mechanisms policies investigating defending realworld attacks computer systems selfpropagating worms stealthy rootkits largescale botnets os security techniques authentication system call monitoring well memory protection introduce recent advanced techniques systemlevel randomization hardware virtualization,C++
automata languages computability theory,formal models language computation finite automata regular languages pushdown automata contextfree languages turing machines relative power models chomsky hierarchy inherent complexity problems undecidability computational complexity intractable problems,Python
real time computer systems,design implementation computer systems required provide specific response times structure realtime kernel fixed dynamic priority scheduling algorithms rate monotonic scheduling theory priority inheritance protocols realtimebenchmarks case study realtime kernel,C++
artificial intelligence ii,second course artificial intelligence emphasizing advanced concepts ai including logic programming automatic programming natural language understanding visual perception machine learning inference intelligent computeraided instruction knowledge representation robotics topics chosen instructor students asked write programs ai programming language lisp prolog,Python
advanced topics machine learning,broad range advanced topics machine learning building computerbased systems adapt environment learn experience theory learnability technical details various learning methods combination multiple methods evaluation methods related topics discretion instructor,Python
advanced distributed systems,principles design implementation modern distributed systems recent techniques used realworld distributed systems peertopeer file sharing enterprise data center internet search engines stateoftheart architectures algorithms performance evaluation methodologies distributed systems,C++
database management systems,database concepts database design data models entityrelationship relational data manipulation languages including sql data dictionaries query processing concurrency software development environments using database system expert objectoriented multimedia distributed database systems database systems architecture use commercial database management system,Java
secure data management,advanced topics secure data management techniques traditional database management systems well recent advances emerging areas emphasis new security issues challenges imposed internet web crossorganization data sharing management example topics include xml data management pp trust management data authorship integration security privacy policies information systems,Java
serviceoriented computing,concepts theories techniques computing services course examines architectures web applications based classical publish find bind triangle formulates higher level considers sophisticated approaches description discovery engagement services especially web grid course emphasizes service composition key topics include semantics transactions processes agents quality service compliance trust,Java
advanced topics computer graphics,understanding discussing current advances research topics computer graphics possible topics include nonphotorealistic rendering modeling natural phenomena illumination rendering techniques model simplification animation visualization graphics hardware learning critique research papers important venues computer graphics field learning read interpret present computer graphics research papers conferencetype environment,C++
computer simulation techniques,basic discrete event simulation methodology random number generators simulation designs validation analysis simulation output applications various areas scientific modeling simulation language slam gpss computer assignments projects,C++
code optimization scalar parallel programs,advanced research issues code optimization scalar parallel programs program analysis scalar parallel optimizations well various related advanced topics,C++
survivable networks,principles network service continuity related metrics theory network availability survivability restoration comprehensive coverage network architectures protocols algorithms related technology survivability advanced topics network survivability handson experience implementation protocols software survivable systems operation survivable networks,C++
advanced topics internet protocols,cuttingedge concepts technologies support internetworking general optimize performance tcpip protocol suite particular challenges facing likely evolution next generation intenetworking technologies course investigates topics include may limited internet traffic measurement characteriztion modeling traffic engineering networkaware applications quality service peertopeer systems contentdistribution networks sensor networks reliable multicast congestion control,C++
advanced network security,study network security policies models mechanisms topics include network security models review cryptographic techniques internet key management protocols electronic payments protocols systems intrusion detection correlation broadcast authentication group key management security mobile adhoc networks security sensor networks,Java
advanced topics wireless networking,reviews current state research wireless networks network architectures applications wireless technologies students design organize implement simulate systems fullsemester research project students background networking communications wish explore research development topics,C++
design performance evaluation network systems services,introduction design performance evaluation network services topics include topdown network design based requirements endtoend services network system architecture service level agreements quantitative performance evaluation techniques provides quantitative skills network service traffic workload modeling well service applications triple play internet iptv peertopeer pp voice ip voip storage network management access services,C++
telecommunications network design,analytic modeling topological design telecommunications networks including centralized polling networks packet switched networks networks concentrator location problems routing strategies teletraffic engineering network reliability,C++
numerical analysis ii,approximation interpolation fast fourier transform numerical differentiation integration numerical solution initial value problems ordinary differential equations,Python
advanced topics computer science,advanced topics current interest computer science covered existing courses,Java
seminar computer science,faculty graduate student research presentations discussions centered around current research problems computer science advanced theories areas students expected make presentations published works depending onthe course credit received academic degree progress present research results critical discussions various research approaches results relationships based presentations additional readings research departmental approval required,Java